NomeCandidato;NumeroUrna;QtdZonasVotado
MOZAIR COSTA;33963;23
MYRIAN MASSAROLLO;33033;36
MÁRIO BORTOTO;50501;52
MÁRIO GREGO;50664;40
NAILTON;33215;23
NALVA FIEL;13987;12
NASCIMENTO;44447;36
NATAEL;43137;22
NECO FIGA;19444;52
NEGRO COSMO;33400;44
NEI MOTOCICLISTA;50236;41
NEIDE DO EMILIO;50019;48
NEIDE FERREIRA;19051;24
NEIDE LANDE;65167;19
NEIDE RONDON;27587;34
NELSON BENTO;12144;35
NELSON RIBAS;14500;55
NELSON SUSSUMU SHIKICIMA;14888;56
NELSON VALENTE;28888;52
NEUCELI RODRIGUES;55355;32
NEUSA DA SILVA;45899;47
NEUSA DAGLISIA;44028;14
NEUSA DE OLIVEIRA;19011;19
NEUSA RUOTOLO;33776;6
NEUZA ANDRADE;23681;2
NICE A DIARISTA;22100;52
NILDA;65165;55
NILO;43222;55
NIVALDO DA RECICLAGEM;19129;30
NOCA BATUIRA;55444;51
NOELIA SANTOS;70152;34
NONATO DA AUTO PEÇAS;19333;49
NORBERTO BEIJOCA;14520;31
NORMA DAS PENSIONISTAS;14912;28
NUBIA CORREA;55007;44
NULLO CAPELOTTO;12205;25
O HOMEM DA MOTO;44600;40
O PHUMAÇA;23420;51
ODAIR ABREU;31747;38
ODENILDO SOARES;65655;42
OLIVEIRA JÁ;13999;57
OLIVEIRA SOUZA;19690;37
OSIVALDO ROSA;31234;49
OSVALDINHO DA FEIRA MADRUGADA;44044;56
OSVALDO ATLETA;44050;19
OSVALDO NUNES DA LOTAÇÃO;12020;34
PAI VLADMIR DO OXÓSSI;19077;46
PAOLA ELIDE;43143;46
PAOLA PALOPITO;36200;14
PAPA JUNIOR;22345;55
PARANÁ;25333;55
PASTOR JOÃO LISBOA;31313;47
PASTOR MATUSALEM;43081;44
PASTORA LEA;19117;12
PATRICIA LIMA;14800;54
PATRICIO;43243;51
PATRICIO TUTTA;65377;20
PAULA BEATRIZ;50031;51
PAULINHA;36333;53
PAULINHO LIBONATI;43007;55
PAULLO GUARDIÃO;12212;35
PAULO AMIGO DO BEM;43369;42
PAULO CAINE;23008;54
PAULO CALLIS;28899;15
PAULO DO PROERD;43190;55
PAULO HENRIQUE - PH;14380;34
PAULO ILLES;13771;56
PAULO JOSÉ DA COSTA;55678;47
PAULO LEONARDO;54444;52
PAULO RAMOS;43433;45
PAULO ROCHA;50888;47
PAULO SABOIA;54554;50
PAULO SPINA;50250;57
PAULO TEIXEIRA;19700;35
PAULÃO DO POVÃO;27030;44
PEDRO AZAMBUJA;33971;23
PEDRO NASCIMENTO;15554;41
PIOLHO ( SENA);70777;53
PK DO PSOL;50157;7
POLACO;65129;34
POMARICO;31837;30
PR EVANDRO ART;43743;53
PR. CARDOSO;14112;55
PR. CARLOS;23444;46
PR. JORGE;23477;39
PROF JANETE;12767;35
PROF JONIAS DE SOUZA;12127;39
PROF MARCELO;12500;57
PROF NILVA;12157;47
PROF ODETTE CARVALHO;12967;41
PROF VERA PINZON;50777;53
PROF. ALESSANDRO ROSSINI;23223;56
PROF. ALVES RIBEIRO;54152;42
