NomeCandidato;NumeroUrna;QtdSecoesVotado
PASTORA LEA;19117;15
PATRICIA BEZERRA;45321;13932
PATRICIA LIBERATO;65104;3478
PATRICIA LIMA;14800;428
PATRICIO;43243;232
PATRICIO TUTTA;65377;204
PAULA BEATRIZ;50031;536
PAULINHA;36333;399
PAULINHO HELIÓPOLIS;13113;2713
PAULINHO LIBONATI;43007;779
PAULLO GUARDIÃO;12212;88
PAULLO VIEIRA;31400;1100
PAULO AMIGO DO BEM;43369;614
PAULO CAINE;23008;1678
PAULO CALLIS;28899;24
PAULO DO PROERD;43190;1564
PAULO FIORILO;13690;9611
PAULO FRANGE;14444;13102
PAULO GAVIÃO;65159;1548
PAULO HENRIQUE - PH;14380;147
PAULO ILLES;13771;1131
PAULO JOSÉ DA COSTA;55678;547
PAULO KORTE;15002;1893
PAULO LEONARDO;54444;295
PAULO MONTEIRO;43777;2493
PAULO RAMOS;43433;410
PAULO ROCHA;50888;253
PAULO SABOIA;54554;301
PAULO SPINA;50250;1398
PAULO TEIXEIRA;19700;463
PAULÃO DO POVÃO;27030;257
PEDRO AZAMBUJA;33971;116
PEDRO NASCIMENTO;15554;308
PEREIO;40444;1327
PEROZZO;23100;694
PIOLHO ( SENA);70777;493
PK DO PSOL;50157;10
POLACO;65129;128
POLICE NETO - VEREADOR NETINHO;55000;12348
POMARICO;31837;141
PR ATALAIA;25777;2659
PR EVANDRO ART;43743;422
PR MARCOS MIRANDA;23133;6127
